WARNING: MemModel.v:34: $readmemh(ALU_TEST_inst.hex): Not enough words in the file for the requested range [0:4095].
VCD info: dumpfile myfile.dmp opened for output.
Memory access at time 22: addr=0x00000000, write=0, data=00000000
Memory access at time 38: addr=0xxxxxxxxx, write=0, data=000000xx
Memory access at time 54: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 70: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 86: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 102: addr=0xxxxxxxxX, write=0, data=xxxxxxxx
Memory access at time 118: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 134: addr=0xxxxxxxxX, write=0, data=xxxxxxxx
Memory access at time 150: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 166: addr=0xxxxxxxxX, write=0, data=xxxxxxxx
Memory access at time 182: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 198: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 214: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 230: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 246: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 262: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 278: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 294: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 310: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 326: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 342: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 358: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 374: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 390: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 406: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 422: addr=0xxxxxxxxX, write=0, data=xxxxxxxx
Memory access at time 438: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 454: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 470: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 486: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 502: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 518: addr=0xxxxxxxxX, write=0, data=xxxxxxxx
Memory access at time 534: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
